hour,solar,wind_offshore,wind_onshore,load,hour_of_day
2017-01-15 13:00:00,327.904,102.501,30.016,53850.0,13
2017-01-15 14:00:00,234.119,18.75,49.03,53605.0,14
2017-01-15 15:00:00,50.657,86.25,16.74,55024.0,15
2017-01-15 16:00:00,0.0,102.5,3.874,61081.0,16
2017-01-15 17:00:00,0.0,71.499,3.174,61109.0,17
2017-01-15 18:00:00,0.0,102.501,0.0,59433.0,18
2017-01-15 19:00:00,0.0,37.25,9.032,56654.0,19
2017-01-15 20:00:00,0.0,34.251,1.715,53668.0,20
2017-01-15 21:00:00,0.0,129.5,0.08,50251.0,21
2017-01-15 22:00:00,0.0,6.249,0.297,46597.0,22
2017-01-15 23:00:00,0.0,46.749,0.0,43763.0,23
2017-01-16 00:00:00,0.0,27.75,0.0,42275.0,0
2017-01-16 01:00:00,0.0,78.75,0.0,41666.0,1
2017-01-16 02:00:00,0.0,95.5,0.0,41568.0,2
2017-01-16 03:00:00,0.0,65.25,0.0,42094.0,3
2017-01-16 04:00:00,0.0,61.749,0.0,44663.0,4
2017-01-16 05:00:00,0.0,93.999,0.0,51161.0,5
2017-01-16 06:00:00,0.0,115.0,0.0,60826.0,6
2017-01-16 07:00:00,0.0,44.5,0.0,67255.0,7
2017-01-16 08:00:00,69.06,30.252,3.141,68556.0,8
2017-01-16 09:00:00,263.048,11.0,18.119,68179.0,9
2017-01-16 10:00:00,380.163,28.501,18.843,67984.0,10
2017-01-16 11:00:00,421.243,24.751,22.968,67152.0,11
2017-01-16 12:00:00,405.491,23.0,31.153,67491.0,12
2017-01-16 13:00:00,336.738,21.5,43.319,67402.0,13
2017-01-16 14:00:00,196.575,15.501,66.325,67638.0,14
2017-01-16 15:00:00,55.417,16.251,63.226,68888.0,15
2017-01-16 16:00:00,0.0,31.251,70.966,72318.0,16
2017-01-16 17:00:00,0.0,33.75,63.621,69897.0,17
2017-01-16 18:00:00,0.0,30.75,49.36,67378.0,18
2017-01-16 19:00:00,0.0,16.0,52.463,64613.0,19
2017-01-16 20:00:00,0.0,14.0,46.166,60436.0,20
2017-01-16 21:00:00,0.0,19.251,27.711,55923.0,21
2017-01-16 22:00:00,0.0,10.001,31.496,51453.0,22
2017-01-16 23:00:00,0.0,7.749,21.401,48211.0,23
2017-01-17 00:00:00,0.0,12.25,18.505,46221.0,0
2017-01-17 01:00:00,0.0,11.001,42.035,45104.0,1
2017-01-17 02:00:00,0.0,9.0,24.843,44403.0,2
2017-01-17 03:00:00,0.0,0.501,14.075,43696.0,3
2017-01-17 04:00:00,0.0,3.0,23.715,45266.0,4
2017-01-17 05:00:00,0.0,3.5,32.71,51862.0,5
2017-01-17 06:00:00,0.0,11.5,31.022,62146.0,6
2017-01-17 07:00:00,0.357,21.501,29.356,68571.0,7
2017-01-17 08:00:00,42.569,32.501,49.737,70121.0,8
2017-01-17 09:00:00,150.718,42.999,74.999,70380.0,9
2017-01-17 10:00:00,301.949,49.0,71.986,69870.0,10
2017-01-17 11:00:00,463.441,64.5,47.724,68122.0,11
2017-01-17 12:00:00,501.412,78.249,25.377,67673.0,12
2017-01-17 13:00:00,493.145,94.999,9.163,67582.0,13
2017-01-17 14:00:00,314.878,61.249,9.777,68073.0,14
2017-01-17 15:00:00,93.146,67.25,9.483,68917.0,15
2017-01-17 16:00:00,0.89,74.25,6.093,72252.0,16
2017-01-17 17:00:00,0.0,75.5,7.232,70612.0,17
2017-01-17 18:00:00,0.0,86.749,7.556,68472.0,18
2017-01-17 19:00:00,0.0,71.249,7.476,65078.0,19
2017-01-17 20:00:00,0.0,103.499,10.108,60973.0,20
2017-01-17 21:00:00,0.0,131.25,17.114,56126.0,21
2017-01-17 22:00:00,0.0,137.5,22.207,52000.0,22
2017-01-17 23:00:00,0.0,161.0,21.127,48449.0,23
2017-01-18 00:00:00,0.0,152.75,19.932,46456.0,0
2017-01-18 01:00:00,0.0,179.0,20.692,45126.0,1
2017-01-18 02:00:00,0.0,235.75,31.682,44786.0,2
2017-01-18 03:00:00,0.0,289.0,31.536,45255.0,3
2017-01-18 04:00:00,0.0,266.25,32.237,47216.0,4
