,power,potential,cost,state_of_charge,cycle_count
2021-01-04 00:00:00+00:00,0.066666667,0.133333333,0.067404335,0.605482456,0.012730263
2021-01-04 00:15:00+00:00,-0.266666667,-0.533333333,-0.140533333,0.637149123,0.015833333
2021-01-04 00:30:00+00:00,-0.666666667,-1.333333333,-0.335178415,0.716315789,0.039583333
2021-01-04 00:45:00+00:00,-0.733333333,-1.466666667,-0.23748399,0.803399123,0.043541667
2021-01-04 01:00:00+00:00,0.133333333,0.266666667,0.093618136,0.785855263,0.00877193
2021-01-04 01:15:00+00:00,-0.066666667,-0.133333333,-0.013633333,0.79377193,0.003958333
2021-01-04 01:30:00+00:00,-0.133333333,-0.266666667,-0.0269,0.809605263,0.007916667
2021-01-04 01:45:00+00:00,-0.133333333,-0.266666667,-0.026368333,0.825438596,0.007916667
2021-01-04 02:00:00+00:00,-0.2,-0.4,-0.028911816,0.849188596,0.011875
2021-01-04 02:15:00+00:00,0.0,0.0,0.0,0.849188596,0.0
2021-01-04 02:30:00+00:00,0.0,0.0,0.0,0.849188596,0.0
2021-01-04 02:45:00+00:00,-0.427885503,-0.855771006,0.008404453,0.9,0.025405702
2021-01-04 03:00:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 03:15:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 03:30:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 03:45:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 04:00:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 04:15:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 04:30:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 04:45:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 05:00:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 05:15:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 05:30:00+00:00,0.0,0.0,0.0,0.9,0.0
2021-01-04 05:45:00+00:00,0.2,0.4,0.135690411,0.873684211,0.013157895
2021-01-04 06:00:00+00:00,0.666666667,1.333333333,0.558589692,0.784254386,0.060548246
2021-01-04 06:15:00+00:00,0.266666667,0.533333333,0.212475297,0.748311404,0.025888158
2021-01-04 06:30:00+00:00,0.133333333,0.266666667,0.094752626,0.730767544,0.00877193
2021-01-04 06:45:00+00:00,0.866666667,1.733333333,0.638832819,0.616732456,0.057017544
2021-01-04 07:00:00+00:00,0.0,0.0,0.03273798,0.61502193,0.016688596
2021-01-04 07:15:00+00:00,0.4,0.8,0.312425575,0.562390351,0.026315789
2021-01-04 07:30:00+00:00,1.0,2.0,0.816034224,0.430811404,0.065789474
2021-01-04 07:45:00+00:00,0.933333333,1.866666667,0.820753261,0.308004386,0.061403509
2021-01-04 08:00:00+00:00,-0.866666667,-1.733333333,-0.580620082,0.410921053,0.051458333
2021-01-04 08:15:00+00:00,-0.666666667,-1.333333333,-0.404104204,0.490087719,0.039583333
2021-01-04 08:30:00+00:00,-0.6,-1.2,-0.344251654,0.561337719,0.035625
2021-01-04 08:45:00+00:00,-1.0,-2.0,-0.533094493,0.680087719,0.059375
2021-01-04 09:00:00+00:00,0.0,0.0,0.060866735,0.676666667,0.033377193
2021-01-04 09:15:00+00:00,-0.333333333,-0.666666667,-0.164431088,0.71625,0.019791667
2021-01-04 09:30:00+00:00,-0.133333333,-0.266666667,-0.059088889,0.732083333,0.007916667
2021-01-04 09:45:00+00:00,-0.4,-0.8,-0.135400552,0.779583333,0.02375
2021-01-04 10:00:00+00:00,0.666666667,1.333333333,0.475644847,0.691864035,0.043859649
2021-01-04 10:15:00+00:00,-0.133333333,-0.266666667,-0.065564422,0.707697368,0.007916667
2021-01-04 10:30:00+00:00,0.0,0.0,0.015122222,0.706842105,0.008344298
2021-01-04 10:45:00+00:00,0.333333333,0.666666667,0.241025493,0.662982456,0.021929825
2021-01-04 11:00:00+00:00,1.0,2.0,0.778378044,0.531403509,0.065789474
2021-01-04 11:15:00+00:00,0.466666667,0.933333333,0.382147224,0.47,0.030701754
2021-01-04 11:30:00+00:00,1.0,2.0,0.853266559,0.338421053,0.065789474
2021-01-04 11:45:00+00:00,0.266666667,0.533333333,0.25004985,0.303333333,0.01754386
2021-01-04 12:00:00+00:00,-0.6,-1.2,-0.410249214,0.374583333,0.035625
2021-01-04 12:15:00+00:00,0.333333333,0.666666667,0.336992453,0.328157895,0.046962719
2021-01-04 12:30:00+00:00,0.4,0.8,0.403323966,0.275526316,0.026315789
2021-01-04 12:45:00+00:00,0.133333333,0.266666667,0.177450252,0.257127193,0.017116228
2021-01-04 13:00:00+00:00,-0.066666667,-0.133333333,-0.046755556,0.26504386,0.003958333
2021-01-04 13:15:00+00:00,-0.866666667,-1.733333333,-0.598642988,0.367960526,0.051458333
2021-01-04 13:30:00+00:00,-0.2,-0.4,-0.132413558,0.391710526,0.011875
2021-01-04 13:45:00+00:00,0.666666667,1.333333333,0.601859398,0.303991228,0.043859649
2021-01-04 14:00:00+00:00,0.0,0.0,0.035667184,0.302280702,0.016688596
2021-01-04 14:15:00+00:00,0.066666667,0.133333333,0.068228559,0.293508772,0.004385965
2021-01-04 14:30:00+00:00,0.4,0.8,0.450546538,0.240877193,0.026315789
2021-01-04 14:45:00+00:00,0.2,0.4,0.259278763,0.214561404,0.013157895
2021-01-04 15:00:00+00:00,-1.0,-2.0,-0.700235921,0.333311404,0.059375
2021-01-04 15:15:00+00:00,-0.6,-1.2,-0.399680922,0.404561404,0.035625
2021-01-04 15:30:00+00:00,-0.733333333,-1.466666667,-0.445787448,0.491644737,0.043541667
2021-01-04 15:45:00+00:00,1.0,2.0,0.840951956,0.360065789,0.065789474
2021-01-04 16:00:00+00:00,0.533333333,1.066666667,0.534327394,0.288179825,0.051776316
2021-01-04 16:15:00+00:00,-0.133333333,-0.266666667,-0.092880257,0.304013158,0.007916667
2021-01-04 16:30:00+00:00,0.0,0.0,0.0,0.304013158,0.0
2021-01-04 16:45:00+00:00,-0.4,-0.8,-0.276749912,0.351513158,0.02375
2021-01-04 17:00:00+00:00,-0.6,-1.2,-0.34870014,0.420197368,0.060657895
2021-01-04 17:15:00+00:00,0.0,0.0,0.043123936,0.417631579,0.025032895
