,market_position,shortage_price,surplus_price
2021-01-04 02:45:00+00:00,0.427885503,-36.69,-36.69
2021-01-04 03:00:00+00:00,0.0,-27.91,-27.91
2021-01-04 03:15:00+00:00,0.0,-49.13,-49.13
2021-01-04 03:30:00+00:00,0.0,-30.56,-30.56
2021-01-04 03:45:00+00:00,0.0,-61.85,-61.85
2021-01-04 04:00:00+00:00,0.0,-31.57,-31.57
2021-01-04 04:15:00+00:00,0.0,8.55,8.55
2021-01-04 04:30:00+00:00,0.0,6.77,6.77
2021-01-04 04:45:00+00:00,0.0,-114.1,-114.1
2021-01-04 05:00:00+00:00,0.0,-31.27,-31.27
2021-01-04 05:15:00+00:00,0.0,-118.25,-118.25
2021-01-04 05:30:00+00:00,0.0,7.8,7.8
2021-01-04 05:45:00+00:00,-0.2,5.96,5.96
2021-01-04 06:00:00+00:00,-0.666666667,83.43,83.43
2021-01-04 06:15:00+00:00,-0.266666667,34.45,34.45
2021-01-04 06:30:00+00:00,-0.133333333,37.45,37.45
2021-01-04 06:45:00+00:00,-0.866666667,57.81,40.66
2021-01-04 07:00:00+00:00,0.0,48.77,40.24
2021-01-04 07:15:00+00:00,-0.4,96.51,96.51
2021-01-04 07:30:00+00:00,-1.0,145.4,145.4
2021-01-04 07:45:00+00:00,-0.933333333,40.24,40.24
2021-01-04 08:00:00+00:00,0.866666667,26.45,26.45
2021-01-04 08:15:00+00:00,0.666666667,31.45,31.45
2021-01-04 08:30:00+00:00,0.6,31.24,31.24
2021-01-04 08:45:00+00:00,1.0,26.45,26.45
2021-01-04 09:00:00+00:00,0.0,34.45,34.45
2021-01-04 09:15:00+00:00,0.333333333,34.99,34.99
2021-01-04 09:30:00+00:00,0.133333333,21.49,21.49
2021-01-04 09:45:00+00:00,0.4,15.49,15.49
2021-01-04 10:00:00+00:00,-0.666666667,61.4,37.99
2021-01-04 10:15:00+00:00,0.133333333,40.24,40.24
2021-01-04 10:30:00+00:00,0.0,39.66,39.66
2021-01-04 10:45:00+00:00,-0.333333333,52.1,43.62
2021-01-04 11:00:00+00:00,-1.0,450.0,450.0
2021-01-04 11:15:00+00:00,-0.466666667,48.58,48.58
2021-01-04 11:30:00+00:00,-1.0,53.79,53.79
2021-01-04 11:45:00+00:00,-0.266666667,45.4,45.4
2021-01-04 12:00:00+00:00,0.6,26.09,26.09
2021-01-04 12:15:00+00:00,-0.333333333,52.1,52.1
2021-01-04 12:30:00+00:00,-0.4,48.54,48.54
2021-01-04 12:45:00+00:00,-0.133333333,48.4,48.4
2021-01-04 13:00:00+00:00,0.066666667,45.1,43.63
2021-01-04 13:15:00+00:00,0.866666667,39.33,39.33
2021-01-04 13:30:00+00:00,0.2,45.7,43.62
2021-01-04 13:45:00+00:00,-0.666666667,49.18,49.18
2021-01-04 14:00:00+00:00,0.0,51.23,51.23
2021-01-04 14:15:00+00:00,-0.066666667,51.23,51.23
2021-01-04 14:30:00+00:00,-0.4,48.1,48.1
2021-01-04 14:45:00+00:00,-0.2,48.78,48.78
2021-01-04 15:00:00+00:00,1.0,15.49,15.49
2021-01-04 15:15:00+00:00,0.6,37.45,37.45
2021-01-04 15:30:00+00:00,0.733333333,35.67,35.67
2021-01-04 15:45:00+00:00,-1.0,127.06,127.06
2021-01-04 16:00:00+00:00,-0.533333333,105.04,105.04
2021-01-04 16:15:00+00:00,0.133333333,51.05,51.05
2021-01-04 16:30:00+00:00,0.0,47.0,47.0
2021-01-04 16:45:00+00:00,0.4,34.99,34.99
2021-01-04 17:00:00+00:00,0.6,57.91,-67.05
2021-01-04 17:15:00+00:00,0.0,51.0,26.74
2021-01-04 17:30:00+00:00,1.0,21.49,21.49
2021-01-04 17:45:00+00:00,1.0,15.0,15.0
2021-01-04 18:00:00+00:00,0.6,-5.04,-5.04
2021-01-04 18:15:00+00:00,0.733333333,-5.04,-5.04
2021-01-04 18:30:00+00:00,0.266666667,14.9,14.9
2021-01-04 18:45:00+00:00,0.462049861,-6.03,-6.03
2021-01-04 19:00:00+00:00,-1.0,277.99,277.99
2021-01-04 19:15:00+00:00,0.133333333,31.45,31.45
2021-01-04 19:30:00+00:00,0.2,14.77,14.77
2021-01-04 19:45:00+00:00,0.0,26.45,26.45
2021-01-04 20:00:00+00:00,-0.333333333,25.65,25.65
2021-01-04 20:15:00+00:00,0.066666667,37.4,37.4
2021-01-04 20:30:00+00:00,0.0,31.45,31.45
2021-01-04 20:45:00+00:00,0.2,20.9,20.9
2021-01-04 21:00:00+00:00,0.0,71.14,-75.9
2021-01-04 21:15:00+00:00,-0.6,101.81,7.43
2021-01-04 21:30:00+00:00,0.933333333,4.88,4.88
2021-01-04 21:45:00+00:00,0.2,0.57,0.57
2021-01-04 22:00:00+00:00,0.133333333,45.69,-130.0
2021-01-04 22:15:00+00:00,0.266666667,-107.47,-107.47
2021-01-04 22:30:00+00:00,0.073684211,-130.0,-130.0
2021-01-04 22:45:00+00:00,0.0,-3.89,-3.89
2021-01-04 23:00:00+00:00,-1.0,49.7,49.7
2021-01-04 23:15:00+00:00,-0.4,43.4,24.7
2021-01-04 23:30:00+00:00,0.2,20.7,20.7
2021-01-04 23:45:00+00:00,-0.6,48.56,48.56
2021-01-05 00:00:00+00:00,-0.533333333,50.83,50.83
2021-01-05 00:15:00+00:00,-1.0,61.3,28.14
2021-01-05 00:30:00+00:00,0.933333333,25.26,25.26
2021-01-05 00:45:00+00:00,0.733333333,25.67,25.67
2021-01-05 01:00:00+00:00,0.0,18.02,18.02
2021-01-05 01:15:00+00:00,0.2,25.52,25.52
2021-01-05 01:30:00+00:00,0.066666667,25.52,25.52
2021-01-05 01:45:00+00:00,0.066666667,23.02,23.02
2021-01-05 02:00:00+00:00,0.0,26.82,26.82
2021-01-05 02:15:00+00:00,0.066666667,23.03,23.03
2021-01-05 02:30:00+00:00,0.066666667,23.03,23.03
2021-01-05 02:45:00+00:00,0.133333333,18.03,18.03
2021-01-05 03:00:00+00:00,0.133333333,10.52,10.52
2021-01-05 03:15:00+00:00,0.8,-3.58,-3.58
2021-01-05 03:30:00+00:00,0.0,26.37,26.37
2021-01-05 03:45:00+00:00,0.0,29.94,29.94
2021-01-05 04:00:00+00:00,0.0,0.86,0.86
2021-01-05 04:15:00+00:00,0.515050785,-49.74,-49.74
2021-01-05 04:30:00+00:00,0.0,-11.79,-11.79
2021-01-05 04:45:00+00:00,0.0,10.0,10.0
2021-01-05 05:00:00+00:00,0.0,30.66,30.66
2021-01-05 05:15:00+00:00,-0.066666667,23.36,23.36
2021-01-05 05:30:00+00:00,-0.333333333,36.98,36.98
2021-01-05 05:45:00+00:00,0.4,-46.67,-46.67
2021-01-05 06:00:00+00:00,0.0,15.69,15.69
2021-01-05 06:15:00+00:00,0.0,-20.28,-20.28
