Date,Ra,Rb,Rc,Rd,Re,Rf,Ea,Eb,Ec,Na,Nb,Nc,Nd,Ga,Gb,Gc,Ba,Bb,Bc,Bd,Be,Bf
2028-12-31,7690.693776,7690.693776,7936.841712,7936.841712,8302.431408,8302.431408,111.2709,108.1191,111.2709,88.0,108.0,128.0,53.44,29.9838,29.9838,32.981,57.30913844578009,60.3054474152361,53.419233032975356,33.5679973826897,34.8532085384076,33.6973227578462
2029-01-31,8302.173984,8302.173984,8623.394,8623.394,9070.924136,9070.924136,114.8674,111.1426,114.8674,36.0,43.5,51.0,20.22,19.4735,19.4735,22.1595,57.79586010938095,60.831001420693944,53.854444615270864,33.8994778387274,35.244603673066706,34.03483217516051
2029-02-28,8732.491264,8732.491264,9268.619584,9268.619584,9925.800864,9925.800864,100.657,97.393,100.657,0.0,0.0,0.0,0.0,16.037,16.037,18.249,58.23198309710641,61.30182274671854,54.24453778509014,34.208474026167785,35.60945053564803,34.3494483803569
2029-03-31,8700.423792,8700.423792,9806.869344,9806.869344,10997.7775,10997.7775,110.1306,106.5594,110.1306,60.0,72.5,85.0,33.7,17.6407,17.6407,20.0739,58.71105476660446,61.81890663836396,54.67318013894952,34.56138875422245,36.02615416023345,34.708781915887634
2029-04-30,9372.7104,9372.7104,10930.464,10930.464,12555.9696,12555.9696,123.1568,119.1632,123.1568,132.0,159.5,187.0,74.14,18.7862,18.7862,21.3774,59.17097953623134,62.31522522331984,55.084819591223045,34.91391523851146,36.44239936647725,35.067720146281275
2029-05-31,9374.057264,9374.057264,11320.0959,11320.0959,13308.86866,13308.86866,131.4462,127.1838,131.4462,192.0,232.0,272.0,107.84,22.2227,22.2227,25.2879,59.642509300520295,62.82396867856837,55.50697340321793,35.289735035902446,36.886148123087736,35.450375348186114
2029-06-30,8978.8392,8978.8392,11177.73072,11177.73072,13395.68064,13395.68064,119.6042,115.7258,119.6042,132.0,159.5,187.0,74.14,22.2227,22.2227,25.2879,60.09530583275644,63.31240887216389,55.9124746302389,35.66476215641484,37.32896092746336,35.832223456017864
2029-07-31,9364.149168,9364.149168,11297.31586,11297.31586,13274.25518,13274.25518,123.1568,119.1632,123.1568,228.0,275.5,323.0,128.06,23.1391,23.1391,26.3307,60.559639030612395,63.81320289006593,56.32842591680563,36.064152553318635,37.80054064002397,36.238877959125595
2029-08-31,8383.469376,8383.469376,10112.74957,10112.74957,11881.4816,11881.4816,124.341,120.309,124.341,144.0,174.0,204.0,80.88,25.6592,25.6592,29.1984,61.02043900123642,64.31009725526296,56.741328088554745,36.47574128816587,38.286523524883364,36.65795266335379
2029-09-30,7062.0408,7062.0408,8353.7496,8353.7496,9689.8968,9689.8968,116.0516,112.2884,116.0516,84.0,101.5,119.0,47.18,25.201,25.201,28.677,61.46308520871283,64.78733429962756,57.13806993716692,36.88578649595276,38.770683892093125,37.07545576687595
2029-10-31,9279.898112,9279.898112,10053.88974,10053.88974,10948.8099,10948.8099,114.8674,111.1426,114.8674,96.0,116.0,136.0,53.92,26.3465,26.3465,29.9805,61.917161916217026,65.27681388934634,57.54516298641033,37.32172990028997,39.285423522549365,37.51932810293649
2029-11-30,8625.64944,8625.64944,9025.89456,9025.89456,9560.74608,9560.74608,121.9726,118.0174,121.9726,12.0,14.5,17.0,6.74,30.9285,30.9285,35.1945,62.353442625318735,65.74703421611257,57.93640052699249,37.755528880069825,39.79763112638654,37.96101701167986
2029-12-31,8814.407568,8814.407568,9069.668016,9069.668016,9473.639184,9473.639184,121.9726,118.0174,121.9726,96.0,116.0,136.0,53.92,27.0338,27.0338,30.7626,62.80108202582546,66.229421363223,58.33792294050284,38.216169525307976,40.34153199320549,38.430035781667115
2030-01-31,9486.276768,9486.276768,9825.31112,9825.31112,10320.75783,10320.75783,124.936,120.474,124.936,39.0,45.0,54.0,20.4,17.34,17.34,20.57,63.245553203367585,66.70832032063167,58.73670062235365,38.68943988360298,40.900345377949876,38.91191397373198
2030-02-28,9914.7328,9914.7328,10497.10816,10497.10816,11228.028,11228.028,109.48,105.57,109.48,0.0,0.0,0.0,0.0,14.28,14.28,16.94,63.64434310791929,67.13793814398555,59.09457398694736,39.127783921106335,41.41791955302019,39.35823060563662
2030-03-31,9729.334128,9729.334128,10959.7777,10959.7777,12291.06674,12291.06674,119.784,115.506,119.784,65.0,75.0,90.0,34.0,15.708,15.708,18.634,64.0829658023417,67.61040218870386,59.48827970017915,39.62513020686703,42.00516055906423,39.86462261775404
2030-04-30,10385.67552,10385.67552,12125.15136,12125.15136,13943.136,13943.136,133.952,129.168,133.952,143.0,165.0,198.0,74.8,16.728,16.728,19.844,64.50459963052228,68.06450294234587,59.86682006402472,40.11845064805877,42.58764805415919,40.36691556330534
2030-05-31,10290.80811,10290.80811,12468.58787,12468.58787,14692.77711,14692.77711,142.968,137.862,142.968,208.0,240.0,288.0,108.8,19.788,19.788,23.474,64.93741194318972,68.53057935463022,60.255480178704616,40.640579373876484,43.204150895363114,40.89854075810644
2030-06-30,9776.7144,9776.7144,12239.51184,12239.51184,14718.96288,14718.96288,130.088,125.442,130.088,143.0,165.0,198.0,74.8,19.788,19.788,23.474,65.35353347256289,68.97862265478769,60.62923069327064,41.15775236589822,43.814802260073975,41.42512008430389
2030-07-31,10269.03768,10269.03768,12427.69292,12427.69292,14634.04166,14634.04166,133.952,129.168,133.952,247.0,285.0,342.0,129.2,20.604,20.604,24.442,65.78076036148366,69.43856370378242,61.01303435697804,41.704337071879756,44.460181469326436,41.98164606424813
2030-08-31,9188.025024,9188.025024,11117.01267,11117.01267,13089.00848,13089.00848,135.24,130.41,135.24,156.0,180.0,216.0,81.6,22.848,22.848,27.104,66.20523038341065,69.89547821666943,61.394438741906704,42.263150709240826,45.119999974039146,42.55062339518186
2030-09-30,7768.89648,7768.89648,9206.16048,9206.16048,10693.68048,10693.68048,126.224,121.716,126.224,91.0,105.0,126.0,47.6,22.44,22.44,26.62,66.61343256123618,70.33482744563484,61.76129719594061,42.815415503556736,45.772085940501626,43.11293277281701
2030-10-31,10387.60698,10387.60698,11234.59691,11234.59691,12225.60169,12225.60169,124.936,120.474,124.936,104.0,120.0,144.0,54.4,23.46,23.46,27.83,67.0326300690634,70.78595692437794,62.13810890519,43.39774562774412,46.45967150767743,43.70585430806645
2030-11-30,9707.80368,9707.80368,10135.59312,10135.59312,10724.48496,10724.48496,132.664,127.926,132.664,13.0,15.0,18.0,6.8,27.54,27.54,32.67,67.4358240214041,71.21981307452448,62.5006024067354,43.9723458866501,47.13813004607189,44.290905387367346
2030-12-31,9938.12136,9938.12136,10202.49432,10202.49432,10644.84696,10644.84696,132.664,127.926,132.664,104.0,120.0,144.0,54.4,24.072,24.072,28.556,67.84994073565079,71.66537183509809,62.87298345229667,44.57725482860617,47.85237552414156,44.90681640356491
2031-01-31,10620.25082,10620.25082,10984.22926,10984.22926,11537.3439,11537.3439,125.8284,124.936,132.0752,40.95,47.25,56.7,20.58,17.2125,17.0765,19.907,68.26154520824201,72.10817752623852,63.24317192536063,45.19319581868396,48.57964707925896,45.53396011860045
2031-02-28,10999.45056,10999.45056,11640.3009,11640.3009,12462.20282,12462.20282,110.262,109.48,115.736,0.0,0.0,0.0,0.0,14.175,14.063,16.394,68.63119526757072,72.50580669423078,63.57568300757388,45.75872678144442,49.24739705755136,46.109776949541384
2031-03-31,10642.30211,10642.30211,12003.83848,12003.83848,13488.18246,13488.18246,120.6396,119.784,126.6288,68.25,78.75,94.5,34.3,15.5925,15.4693,18.0334,69.03814206828689,72.94351067966103,63.94180335951958,46.39468643357381,49.99830562289564,46.757303425736374
2031-04-30,11257.24416,11257.24416,13179.33408,13179.33408,15197.09376,15197.09376,134.9088,133.952,141.6064,150.15,173.25,207.9,75.46,16.605,16.4738,19.2044,69.4296905344597,73.36460881749551,64.2941283458998,47.01959989268212,50.736171409619956,47.39358280092685
2031-05-31,11062.82554,11062.82554,13461.48154,13461.48154,15916.17066,15916.17066,143.9892,142.968,151.1376,218.4,252.0,302.4,109.76,19.6425,19.4873,22.7174,69.8319842485976,73.79721927577489,64.65618057654649,47.67469822028595,51.509677942138715,48.06059604652225
2031-06-30,10440.32472,10440.32472,13142.50488,13142.50488,15863.70744,15863.70744,131.0172,130.088,137.5216,150.15,173.25,207.9,75.46,19.6425,19.4873,22.7174,70.21910631420955,74.2134735038532,65.00463375512975,48.3172754450175,52.2684001980719,48.71486045562493
2031-07-31,10972.89045,10972.89045,13342.8242,13342.8242,15772.67997,15772.67997,134.9088,133.952,141.6064,259.35,299.25,359.1,130.34,20.4525,20.2909,23.6542,70.61690299037339,74.6411642151955,65.36275052831319,48.989678169950935,53.06233887613544,49.39949283065409
2031-08-31,9788.018368,9788.018368,11902.49414,11902.49414,14072.00013,14072.00013,136.206,135.24,142.968,163.8,189.0,226.8,82.32,22.68,22.5008,26.2304,71.01247132960061,75.06641819943485,65.7189158737,49.67009479583251,53.86573995773928,50.09228486333473
2031-09-30,8261.3862,8261.3862,9839.64996,9839.64996,11483.39196,11483.39196,127.1256,126.224,133.4368,95.55,110.25,132.3,48.02,22.275,22.099,25.762,71.39319261531332,75.47567302093277,66.06176372536555,50.33566072193966,54.65160609412349,50.76995609194899
2031-10-31,11051.86456,11051.86456,12018.66652,12018.66652,13174.92312,13174.92312,125.8284,124.936,132.0752,109.2,126.0,151.2,54.88,23.2875,23.1035,26.933,71.7844833386211,75.89625131622392,66.4141805151127,51.03017028102673,55.471647389016624,51.47709737988073
2031-11-30,10291.62492,10291.62492,10814.2602,10814.2602,11550.37116,11550.37116,133.6116,132.664,140.2448,13.65,15.75,18.9,6.86,27.3375,27.1215,31.617,72.16113161295803,76.30105530414203,66.75345756127949,51.70824041930773,56.272277858315334,52.16750024708152
2031-12-31,10486.73654,10486.73654,10844.71661,10844.71661,11440.16064,11440.16064,133.6116,132.664,140.2448,109.2,126.0,151.2,54.88,23.895,23.7062,27.6356,72.54828055886777,76.71710882468396,67.10224171645456,52.41445098224935,57.10613509890266,52.88655535654033
2032-01-31,11202.80877,11202.80877,11670.15857,11670.15857,12388.20611,12388.20611,126.7208,129.398,139.2144,42.9,49.5,59.4,20.76,17.085,16.813,19.244,72.933374448422,77.1309181347601,67.44922231102035,53.12563379355785,57.94586331554202,53.61067314954043
2032-02-29,11596.54944,11596.54944,12357.01443,12357.01443,13356.11603,13356.11603,111.044,113.39,121.992,0.0,0.0,0.0,0.0,14.07,13.846,15.848,73.29179181182536,77.51603021155712,67.77220882601235,53.79483028673614,58.736016239463225,54.29204097792214
2032-03-31,11207.44302,11207.44302,12721.35654,12721.35654,14396.77758,14396.77758,121.4952,124.062,133.4736,71.5,82.5,99.0,34.6,15.477,15.2306,17.4328,73.67299941887458,77.9255971145021,68.11577670514062,54.513680744731616,59.58479802035621,55.02396587664553
2032-04-30,11846.01984,11846.01984,13952.50752,13952.50752,16184.63424,16184.63424,135.8656,138.736,149.2608,157.3,181.5,217.8,76.12,16.482,16.2196,18.5648,74.04004126716417,78.31991293612381,68.44661977801492,55.21213055851152,60.409491766059055,55.735119084559955
2032-05-31,11632.21618,11632.21618,14236.53759,14236.53759,16914.84335,16914.84335,145.0104,148.074,159.3072,228.8,264.0,316.8,110.72,19.497,19.1866,21.9608,74.41741602090814,78.72529776516997,68.78681927538223,55.93603687907587,61.264243250368715,56.47219180180045
2032-06-30,10969.67016,10969.67016,13886.70984,13886.70984,16829.91432,16829.91432,131.9464,134.734,144.9552,157.3,181.5,217.8,76.12,19.497,19.1866,21.9608,74.78080418595935,79.11562794344107,69.11445021784998,56.638011859184914,62.09309933181401,57.18693429171329
2032-07-31,11533.14626,11533.14626,14104.20851,14104.20851,16753.3553,16753.3553,135.8656,138.736,149.2608,271.7,313.5,376.2,131.48,20.301,19.9778,22.8664,75.1544594224743,79.51695624693929,69.45137850254388,57.36413322126745,62.95046622363109,57.92626233761196
2032-08-31,10285.73056,10285.73056,12578.5848,12578.5848,14942.72416,14942.72416,137.172,140.07,150.696,171.6,198.0,237.6,83.04,22.512,22.1536,25.3568,75.52626607657683,79.91626916135611,69.78668012516117,58.09027858326827,63.80786145332172,58.665614819939044
2032-09-30,8682.4206,8682.4206,10400.16564,10400.16564,12201.74604,12201.74604,128.0272,130.732,140.6496,100.1,115.5,138.6,48.44,22.11,21.758,24.904,75.88434446537545,80.30081041521707,70.10963875091022,58.79232240027276,64.63679881384539,59.3804273987517
2032-10-31,11627.43189,11627.43189,12723.40862,12723.40862,14058.75048,14058.75048,126.7208,129.398,139.2144,114.4,132.0,158.4,55.36,23.115,22.747,26.036,76.2525922924939,80.6962446414534,70.44180713731785,59.51634670078267,65.49168960282847,60.11762024175512
2032-11-30,10830.14316,10830.14316,11453.7426,11453.7426,12345.54348,12345.54348,134.5592,137.402,147.8256,14.3,16.5,19.8,6.92,27.135,26.703,30.564,76.60727575625685,81.07708662688623,70.76177580913759,60.2149555778827,66.31657116234798,60.8289354060308
2032-12-31,11035.35173,11035.35173,11486.9389,11486.9389,12235.47432,12235.47432,134.5592,137.402,147.8256,114.4,132.0,158.4,55.36,23.718,23.3404,26.7152,76.9720650312873,81.46875303940938,71.09089718557927,60.93401613759553,67.16560102058148,61.56107422779827
2033-01-31,11785.36672,11785.36672,12356.08788,12356.08788,13239.06832,13239.06832,127.6132,133.86,146.3536,44.85,51.75,62.1,20.94,16.9575,16.5495,18.581,77.33513361704539,81.85854547748168,71.4185018719838,61.649487980366516,68.01039350576588,62.289559061097066
2033-02-28,12193.64832,12193.64832,13073.72797,13073.72797,14250.02925,14250.02925,111.826,117.3,128.248,0.0,0.0,0.0,0.0,13.965,13.629,15.302,77.66160763984234,82.2090275207934,71.71311654319138,62.29205318310639,68.76910156674741,62.94381122955228
2033-03-31,11772.58393,11772.58393,13438.8746,13438.8746,15305.3727,15305.3727,122.3508,128.34,140.3184,74.75,86.25,103.5,34.9,15.3615,14.9919,16.8322,78.02146754317276,82.59532645257374,72.03789163575861,62.99877426537007,69.60356160238695,63.66338614365047
2033-04-30,12434.79552,12434.79552,14725.68096,14725.68096,17172.17472,17172.17472,136.8224,143.52,156.9152,164.45,189.75,227.7,76.78,16.359,15.9654,17.9252,78.36814572937298,82.96745162096728,72.35080202884325,63.67739874089327,70.40484660469235,64.35435343037044
2033-05-31,12201.60682,12201.60682,15011.59364,15011.59364,17913.51604,17913.51604,146.0316,153.18,167.4768,239.2,276.0,331.2,111.68,19.3515,18.8859,21.2042,78.72477603299855,83.35023559876845,72.6727273549357,64.37254124673858,71.22563525068014,65.06213917708601
