,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-04 02:00:00+00:00,-0.6635,0.0
2021-01-04 02:15:00+00:00,0.0,0.0
2021-01-04 02:30:00+00:00,0.0,0.0
2021-01-04 02:45:00+00:00,3.924779778,0.0
2021-01-04 03:00:00+00:00,0.0,0.0
2021-01-04 03:15:00+00:00,0.0,0.0
2021-01-04 03:30:00+00:00,0.0,0.0
2021-01-04 03:45:00+00:00,0.0,0.0
2021-01-04 04:00:00+00:00,0.0,0.0
2021-01-04 04:15:00+00:00,0.0,0.0
2021-01-04 04:30:00+00:00,0.0,0.0
2021-01-04 04:45:00+00:00,0.0,0.0
2021-01-04 05:00:00+00:00,0.0,0.0
2021-01-04 05:15:00+00:00,0.0,0.0
2021-01-04 05:30:00+00:00,0.0,0.0
2021-01-04 05:45:00+00:00,0.0,0.298
2021-01-04 06:00:00+00:00,0.0,13.905
2021-01-04 06:15:00+00:00,0.0,2.296666667
2021-01-04 06:30:00+00:00,0.0,1.248333333
2021-01-04 06:45:00+00:00,0.0,8.809666667
2021-01-04 07:00:00+00:00,0.0,0.0
2021-01-04 07:15:00+00:00,0.0,9.651
2021-01-04 07:30:00+00:00,0.0,36.35
2021-01-04 07:45:00+00:00,0.0,9.389333333
2021-01-04 08:00:00+00:00,-5.730833333,0.0
2021-01-04 08:15:00+00:00,-5.241666667,0.0
2021-01-04 08:30:00+00:00,-4.686,0.0
2021-01-04 08:45:00+00:00,-6.6125,0.0
2021-01-04 09:00:00+00:00,0.0,0.0
2021-01-04 09:15:00+00:00,-2.915833333,0.0
2021-01-04 09:30:00+00:00,-0.716333333,0.0
2021-01-04 09:45:00+00:00,-1.549,0.0
2021-01-04 10:00:00+00:00,0.0,6.331666667
2021-01-04 10:15:00+00:00,-1.341333333,0.0
2021-01-04 10:30:00+00:00,0.0,0.0
2021-01-04 10:45:00+00:00,0.0,3.635
2021-01-04 11:00:00+00:00,0.0,112.5
2021-01-04 11:15:00+00:00,0.0,5.667666667
2021-01-04 11:30:00+00:00,0.0,13.4475
2021-01-04 11:45:00+00:00,0.0,3.026666667
2021-01-04 12:00:00+00:00,-3.9135,0.0
2021-01-04 12:15:00+00:00,0.0,4.341666667
2021-01-04 12:30:00+00:00,0.0,4.854
2021-01-04 12:45:00+00:00,0.0,1.613333333
2021-01-04 13:00:00+00:00,-0.751666667,0.0
2021-01-04 13:15:00+00:00,-8.5215,0.0
2021-01-04 13:30:00+00:00,-2.285,0.0
2021-01-04 13:45:00+00:00,0.0,8.196666667
2021-01-04 14:00:00+00:00,0.0,0.0
2021-01-04 14:15:00+00:00,0.0,0.853833333
2021-01-04 14:30:00+00:00,0.0,4.81
