,potential,cost,measured_power
2021-01-06 00:15:00+00:00,0.0,0.0,0.0
2021-01-06 00:30:00+00:00,0.0,0.0,0.0
2021-01-06 00:45:00+00:00,-0.066666667,0.016544444,0.066666667
2021-01-06 01:00:00+00:00,1.0,2.688511111,-1.0
2021-01-06 01:15:00+00:00,0.066666667,-0.017666667,-0.066666667
2021-01-06 01:30:00+00:00,0.0,0.0,0.0
2021-01-06 01:45:00+00:00,0.133333333,-0.035644444,-0.133333333
2021-01-06 02:00:00+00:00,-0.333333333,0.1772,0.333333333
2021-01-06 02:15:00+00:00,0.0,0.0,0.0
2021-01-06 02:30:00+00:00,0.0,0.0,0.0
2021-01-06 02:45:00+00:00,0.0,0.0,0.0
2021-01-06 03:00:00+00:00,0.933333333,-0.604866667,-0.933333333
2021-01-06 03:15:00+00:00,0.933333333,-0.799177778,-0.933333333
2021-01-06 03:30:00+00:00,0.4,-0.332977778,-0.4
2021-01-06 03:45:00+00:00,0.4,0.1602,-0.4
2021-01-06 04:00:00+00:00,-1.0,0.948877778,1.0
2021-01-06 04:15:00+00:00,-0.933333333,0.624977778,0.933333333
2021-01-06 04:30:00+00:00,-1.0,0.660155556,1.0
2021-01-06 04:45:00+00:00,-0.666666667,0.161177778,0.666666667
2021-01-06 05:00:00+00:00,-0.933333333,0.168133333,0.933333333
2021-01-06 05:15:00+00:00,-0.36823638,0.050451093,0.36823638
2021-01-06 05:30:00+00:00,0.0,0.0,0.0
2021-01-06 05:45:00+00:00,0.666666667,2.702911111,-0.666666667
2021-01-06 06:00:00+00:00,-0.533333333,0.422711111,0.533333333
2021-01-06 06:15:00+00:00,0.6,0.7819,-0.6
2021-01-06 06:30:00+00:00,1.0,-1.161844444,-1.0
2021-01-06 06:45:00+00:00,0.2,-0.2743,-0.2
